Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000000003,0,0,0,1,0,0,1,0,0,0,3,1,1,2,0,0,1,0,1,0,0
ENSG00000000005,0,2,3,1,3,1,1,1,6,3,1,3,0,6,0,4,3,9,0,1,0
ENSG00000000419,8,4,8,7,2,3,7,11,10,1,6,6,3,11,1,8,5,5,7,9,10
ENSG00000000457,20,24,67,52,87,72,91,48,66,98,162,66,40,109,30,49,158,132,43,49,102
ENSG00000000460,75,134,124,102,97,86,138,104,95,115,189,116,62,149,28,99,95,110,102,83,150
ENSG00000000938,0,0,0,0,0,0,1,3,1,0,0,5,0,1,0,0,0,1,0,0,0
ENSG00000000971,1,0,0,0,0,0,1,0,0,1,19,6,0,0,0,0,0,0,0,0,0
ENSG00000001036,27,21,32,10,23,7,19,6,12,21,4,38,9,19,3,32,27,20,11,21,53
ENSG00000001084,1,2,0,0,2,0,3,3,1,5,1,9,2,2,0,0,0,2,4,7,6
ENSG00000001167,0,3,3,0,2,0,0,0,1,0,1,6,0,2,0,1,0,0,0,0,2
ENSG00000001460,82,89,131,69,213,65,78,85,72,65,21,142,34,105,7,42,22,30,65,100,264
ENSG00000001461,1,2,1,1,5,1,1,2,1,1,0,10,0,2,0,1,0,0,0,1,5
ENSG00000001497,2,3,4,3,5,2,3,6,5,2,9,19,5,13,1,6,8,12,5,8,1
ENSG00000001561,3,7,15,4,0,0,4,6,3,1,0,10,1,4,0,3,0,8,1,0,4
ENSG00000001617,0,7,2,10,0,3,2,0,3,0,3,10,3,2,0,1,1,3,1,1,0
ENSG00000001626,13,10,12,82,64,18,55,39,78,19,4,13,7,91,5,23,37,77,71,77,8
ENSG00000001629,5,8,3,2,8,1,4,3,3,4,4,11,2,7,1,1,6,6,8,6,7
ENSG00000001630,2,1,7,3,1,1,1,2,2,2,3,8,0,4,1,1,4,6,0,3,16
ENSG00000001631,20,54,54,34,39,23,46,44,44,39,23,34,11,43,8,12,51,33,40,38,47
ENSG00000002016,4,2,15,27,11,6,18,8,24,27,225,12,16,25,9,21,22,20,7,6,12
ENSG00000002079,7,8,36,10,8,5,6,9,14,7,5,10,7,3,16,14,21,17,3,5,3
ENSG00000002330,10,8,6,8,8,7,10,5,7,12,4,20,7,4,1,5,12,11,10,6,33
ENSG00000002549,2,3,4,4,11,2,4,1,1,3,3,8,2,2,1,2,15,7,3,4,5
ENSG00000002586,0,1,0,0,9,5,2,7,4,2,10,7,0,2,9,0,1,16,5,3,1
ENSG00000002587,14,13,0,7,14,33,15,8,19,13,1,12,8,24,2,10,4,12,29,25,19
